num_competitors,avg_competitor_rating,min_competitor_distance_m,max_competitor_rating,rating_variance,competitor_density,category_encoded,avg_product_price_idr,num_products,radius_meters,num_goals,area_wealth_index,competition_density_score,location_appeal_score,market_demand_score,concept_uniqueness_score,success_score
7,4.2,40,4.7,0.33,55.7,1,20000,3,200,2,1.239,27,38,71,32,39
3,3.7,250,4.0,0.2,3.82,0,18000,6,500,2,1.212,56,70,75,61,65
0,0.0,0,0.0,0.0,0.0,3,8000,3,2000,3,1.106,91,77,68,87,81
8,4.2,40,4.7,0.28,28.27,0,18000,6,300,2,1.212,22,36,75,27,40
8,4.3,40,4.8,0.35,28.27,2,30000,5,300,1,1.329,22,39,66,27,38
2,3.8,180,4.0,0.12,15.92,4,6000,25,200,2,1.304,72,50,63,67,64
10,4.3,30,4.8,0.3,79.58,4,6000,15,200,1,1.209,13,35,63,19,31
2,4.2,150,4.5,0.18,2.55,3,9000,4,500,2,1.462,72,57,68,69,67
5,3.8,400,4.2,0.28,1.59,3,8000,3,1000,2,1.212,40,83,68,47,59
7,4.0,60,4.5,0.28,24.74,2,25000,6,300,2,1.223,27,36,66,32,40
2,4.0,120,4.3,0.15,7.07,1,22000,5,300,3,1.525,62,44,78,67,63
0,0.0,0,0.0,0.0,0.0,4,8000,25,200,2,1.678,91,77,63,87,80
5,3.6,500,4.0,0.28,1.59,2,50000,8,1000,3,1.821,40,90,71,47,62
7,4.0,50,4.5,0.3,24.74,0,22000,8,300,2,1.309,27,37,75,32,43
12,4.5,15,5.0,0.38,42.44,0,25000,7,300,2,1.471,7,40,75,12,33
8,4.2,100,4.6,0.33,10.19,3,9000,4,500,2,1.388,22,51,68,27,42
4,3.7,280,4.1,0.3,5.09,2,30000,7,500,3,1.305,48,74,66,55,60
1,3.5,250,3.5,0.0,1.27,4,5000,20,500,2,1.209,82,62,63,75,71
3,3.9,500,4.2,0.2,0.95,3,7000,3,1000,2,1.322,55,88,68,61,68
0,0.0,0,0.0,0.0,0.0,1,12000,4,500,2,0.394,91,77,80,87,84
5,4.3,50,4.7,0.18,39.79,1,22000,3,200,1,1.462,40,32,71,46,47
5,4.1,90,4.5,0.22,17.68,2,40000,6,300,2,1.471,40,34,66,46,46
3,3.5,350,3.9,0.22,3.82,2,25000,6,500,3,1.203,58,81,66,61,66
12,4.5,20,5.0,0.38,95.49,4,5000,20,200,2,0.629,7,35,68,12,28
1,4.4,70,4.4,0.0,7.96,2,35000,6,200,2,1.678,65,25,73,65,57
2,3.5,250,3.8,0.18,2.55,1,15000,6,500,2,1.289,72,69,71,69,70
6,4.0,80,4.5,0.25,47.75,1,18000,4,200,2,1.304,33,35,71,40,44
1,3.4,600,3.4,0.0,0.32,3,7000,2,1000,1,1.303,82,82,68,75,77
11,4.3,20,4.8,0.4,87.56,2,30000,6,200,2,1.307,10,41,66,15,33
4,4.2,80,4.6,0.22,31.83,4,5000,30,200,2,1.304,48,35,63,53,50
2,4.2,100,4.5,0.15,15.92,2,40000,7,200,3,1.384,62,44,66,68,60
0,0.0,0,0.0,0.0,0.0,0,15000,5,200,2,0.308,91,77,75,87,83
5,4.0,60,4.5,0.25,39.79,4,8000,15,200,1,1.462,40,35,61,46,45
9,4.1,50,4.6,0.35,71.62,4,7000,25,200,2,1.304,17,35,61,23,33
4,3.8,350,4.2,0.27,1.27,0,22000,8,1000,3,1.395,48,83,75,54,65
3,3.8,150,4.2,0.25,10.61,1,18000,4,300,3,1.683,56,60,78,62,64
1,3.6,280,3.6,0.0,3.54,2,30000,5,300,2,1.427,82,62,66,75,72
3,4.0,150,4.3,0.17,10.61,0,25000,8,300,4,1.683,54,57,82,60,63
4,4.0,120,4.4,0.2,14.15,2,35000,5,300,2,1.688,48,46,73,53,55
0,0.0,0,0.0,0.0,0.0,4,5000,20,200,2,1.225,91,77,61,87,79
0,0.0,0,0.0,0.0,0.0,2,35000,5,300,2,1.683,91,77,73,87,82
0,0.0,0,0.0,0.0,0.0,4,3000,30,300,3,0.394,91,77,70,87,81
5,3.6,400,4.0,0.28,1.59,0,35000,12,1000,4,1.731,40,83,80,47,62
0,0.0,0,0.0,0.0,0.0,3,5000,2,1000,1,0.394,91,77,77,87,83
0,0.0,0,0.0,0.0,0.0,0,35000,12,1000,5,0.158,91,77,54,87,77
0,0.0,0,0.0,0.0,0.0,0,22000,8,500,3,1.683,91,77,82,87,84
10,4.3,25,4.8,0.3,35.37,0,30000,10,300,3,1.532,13,37,82,19,37
3,3.6,250,4.0,0.25,3.82,4,6000,25,500,3,0.629,58,62,68,62,63
1,4.3,60,4.3,0.0,7.96,4,8000,15,200,2,1.432,65,25,61,65,55
0,0.0,0,0.0,0.0,0.0,2,50000,8,200,3,1.928,91,77,71,87,82
1,3.5,400,3.5,0.0,1.27,0,25000,8,500,3,1.427,82,72,75,75,76
5,3.9,300,4.4,0.3,1.59,1,30000,7,1000,4,1.928,40,84,78,47,62
